response,predictor,effect.type,weighted.sum,weighted.sum.abs
eelgrass.biomass,environment,direct,0.579,0.579
eelgrass.biomass,evo.history,direct,-0.510,1.141
eelgrass.biomass,environment,indirect,NA,NA
eelgrass.biomass,evo.history,indirect,NA,NA
eelgrass.form,environment,direct,-0.131,1.171
eelgrass.form,evo.history,direct,0.771,1.262
eelgrass.form,environment,indirect,NA,NA
eelgrass.form,evo.history,indirect,NA,NA
mesograzers,environment,direct,0.940,1.586
mesograzers,evo.history,direct,0.315,0.315
mesograzers,environment,indirect,-0.213,0.702
mesograzers,evo.history,indirect,-0.087,1.022
periphyton,environment,direct,0.123,1.300
periphyton,evo.history,direct,1.518,1.518
periphyton,environment,indirect,-0.018,0.862
periphyton,evo.history,indirect,-0.168,0.939
