,,"GLM SITE-level model results PER G PLANT, 2021-03-12",,,,,,,,,,,,,,,
,,For error propagation through multiplication of paths see here: https://www.dummies.com/education/science/biology/simple-error-propagation-formulas-for-simple-expressions/,,,,,,,,,,,,,,,
,,Results from script: ZEN_2014_model_comparison_site_means_range_standardized_20210405.R,,,,,,,,,,,,,,,
sort,response,predictor,Value,Std.Error,Crit.Value,p-value,category,effect type,coefficient - raw value,weight (1/SE),weighted.coeff,weighted.coeff.abs,relative standard error,relative standard error SQUARED,SE of path product,,
1,rPC1.zos.global.atl,rPC1.env.global.atl,-0.452,0.113,-3.994,0.001,environment,direct,-0.452,8.850,-3.996,3.996,0.250,0.063,,,
2,rPC1.zos.global.atl,rPC2.env.global.atl,-0.394,0.194,-2.030,0.054,environment,direct,-0.394,5.147,-2.030,2.030,0.493,0.243,,,
3,rPC1.zos.global.atl,rPC3.env.global.atl,-0.271,0.125,-2.164,0.041,environment,direct,-0.271,7.987,-2.164,2.164,0.462,0.214,,,
4,rPC1.zos.global.atl,rFC1.global.atl,-0.290,0.230,-1.262,0.220,evo.history,direct,-0.290,4.346,-1.262,1.262,0.793,0.628,,,
5,rPC1.zos.global.atl,rFC2.global.atl,0.642,0.209,3.076,0.005,evo.history,direct,0.642,4.792,3.075,3.075,0.325,0.106,,,
6,rPC1.zos.global.atl,,,,,,interactions,interactions,0.000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
7,,,,,,,,,,,,,,,,,
8,zPC1.zos.all,environment.summed,,,,,wieghted mean,direct,,,-0.373,0.373,,,,,
9,zPC1.zos.all,evo.history.summed,,,,,wieghted mean,direct,,,0.198,0.475,,,,,
10,zPC1.zos.all,interactions,,,,,wieghted mean,interactions,,,#DIV/0!,#DIV/0!,,,,,
11,,,,,,,,,,,,,,,,,
12,zPC1.zos.all,environment.summed,,,,,wieghted SUM,direct,,,-1.118,1.118,,,,,
13,zPC1.zos.all,evo.history.summed,,,,,wieghted SUM,direct,,,0.397,0.949,,,,,
14,zPC1.zos.all,interactions,,,,,wieghted SUM,interactions,,,#DIV/0!,#DIV/0!,,,,,
13,,,,,,,,,,,,,,,,,
14,rPC2.zos.global.atl,rPC1.env.global.atl,0.782,0.258,3.037,0.006,environment,direct,0.782,3.883,3.037,3.037,0.329,0.108,,,
15,rPC2.zos.global.atl,rPC2.env.global.atl,-0.267,0.179,-1.494,0.149,environment,direct,-0.267,5.599,-1.493,1.493,0.670,0.448,,,
16,rPC2.zos.global.atl,rPC3.env.global.atl,-0.433,0.115,-3.757,0.001,environment,direct,-0.433,8.673,-3.756,3.756,0.266,0.071,,,
17,rPC2.zos.global.atl,rFC1.global.atl,-0.262,0.214,-1.222,0.234,evo.history,direct,-0.262,4.671,-1.222,1.222,0.818,0.669,,,
18,rPC2.zos.global.atl,rFC2.global.atl,1.133,0.285,3.977,0.001,evo.history,direct,1.133,3.510,3.977,3.977,0.251,0.063,,,
19,rPC2.zos.global.atl,rPC1.env.global.atl:rFC2.global.atl,-1.898,0.523,-3.633,0.001,interactions,interactions,-1.898,1.914,-3.633,3.633,0.275,0.076,,,
20,,,,,,,,,,,,,,,,,
21,zPC2.zos.all,environment.summed,,,,,wieghted mean,direct,,,-0.122,0.456,,,,,
22,zPC2.zos.all,evo.history.summed,,,,,wieghted mean,direct,,,0.337,0.636,,,,,
23,zPC2.zos.all,interactions,,,,,wieghted mean,interactions,,,-1.898,1.898,,,,,
24,,,,,,,,,,,,,,,,,
25,zPC2.zos.all,environment.summed,,,,,wieghted SUM,direct,,,-0.366,1.369,,,,,
26,zPC2.zos.all,evo.history.summed,,,,,wieghted SUM,direct,,,0.674,1.271,,,,,
27,zPC2.zos.all,,,,,,wieghted SUM,interactions,,,-1.898,1.898,,,,,
28,,,,,,,,,,,,,,,,,
29,rperi.perg.atl,rPC1.env.global.atl,0.344,0.221,1.558,0.135,environment,direct,0.344,4.529,1.558,1.558,0.642,0.412,,,
30,rperi.perg.atl,rPC2.env.global.atl,-1.404,0.576,-2.435,0.024,environment,direct,-1.404,1.735,-2.435,2.435,0.411,0.169,,,
31,rperi.perg.atl,rPC3.env.global.atl,0.213,0.221,0.965,0.346,environment,direct,0.213,4.521,0.964,0.964,1.037,1.075,,,
32,rperi.perg.atl,rFC1.global.atl,0.477,0.355,1.345,0.194,evo.history,direct,0.477,2.820,1.345,1.345,0.744,0.553,,,
33,rperi.perg.atl,rFC2.global.atl,-0.507,0.376,-1.350,0.192,evo.history,direct,-0.507,2.660,-1.350,1.350,0.741,0.549,,,
34,rperi.perg.atl,rPC1.zos.atl,-1.522,0.702,-2.168,0.042,,direct,-1.522,1.424,-2.168,2.168,0.461,0.213,,,
35,rperi.perg.atl,rPC2.zos.atl,-0.118,0.302,-0.393,0.699,,direct,-0.118,3.316,-0.393,0.393,2.547,6.489,,,
36,rperi.perg.atl,rPC2.env.global.atl:rPC1.zos.atl,3.666,1.208,3.034,0.007,interactions,interactions,3.666,0.828,3.034,3.034,0.330,0.109,,,
37,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
40,zperiphyton,zPC1.env.all > zPC1.zos.all > zperiphyton,,,,,environment,indirect,0.687,2.773,1.906,1.906,,,0.361,,
41,zperiphyton,zPC1.env.all > zPC2.zos.all > zperiphyton,,,,,environment,indirect,0.053,7.308,0.391,0.391,,,0.137,,
