sort,Site,FC1,FC2,FC3,FC4
1,BB.A,-898,308,-130,272
2,BB.B,-1063,627,40,259
3,NN.A,463,-52,-432,-1002
4,NN.B,378,-86,-454,-895
5,BC.A,-893,-647,-499,30
6,BC.B,-848,-561,-532,49
7,ES.A,698,88,158,706
8,ES.B,654,72,101,557
9,FR.A,430,-12,-77,-1053
10,FR.B,476,-42,-64,-1054
11,IR.A,646,183,-222,-467
12,IR.B,698,108,-291,-240
13,LI.A,648,-18,14,705
14,LI.B,618,-49,2,681
15,MX.A,-884,1610,135,-44
16,MX.B,-943,1561,146,-55
17,NC.A,574,26,140,469
18,NC.B,600,20,135,500
19,PO.A,396,-36,185,-137
20,PO.B,486,-51,286,-95
21,QU.A,862,95,-47,357
22,QU.B,854,79,-57,330
23,SD.A,-728,1718,116,-77
24,SD.B,-833,1921,212,-56
25,UK.A,637,130,-308,-567
26,UK.B,628,59,-374,-559
27,VA.A,636,54,22,562
28,VA.B,644,39,57,548
29,FI.A,563,71,-341,-562
30,FI.B,637,132,-235,-664
31,WA.A,-739,-447,-625,177
32,WA.B,-770,-581,-548,48
33,KO.A,-515,-203,1081,-235
34,KO.B,-361,-195,1088,-213
35,OR.A,-1019,-265,-403,192
36,OR.B,-904,-451,-639,193
37,RU.A,277,-87,-160,-449
38,RU.B,659,24,-252,-494
39,CR.A,372,-159,310,233
40,CR.B,402,-143,183,128
41,JN.A,-478,-503,388,-327
42,JN.B,-600,-693,565,-526
43,JS.A,-552,-762,1520,-76
44,JS.B,-553,-850,1707,-45
45,MA.A,661,15,-73,367
46,MA.B,601,-4,-118,259
47,SF.A,-988,-704,-945,253
48,SF.B,-1000,-686,-887,246
49,SW.A,674,72,-219,-319
50,SW.B,632,28,-223,-228
