"Site.Code","Site","Subsite","Sampling.Time","Site.Code.Sampling.Time","Plot.ID","Unique.ID","Old.Species.Name","Sieve.8","Sieve.5.6","Sieve.4","Sieve.2.8","Sieve.2","Sieve.1.4","Sieve.1","Sieve.0.71","Sieve.0.5","Unknown.Size","Bodies","Heads","Total.Abundance.Whole","Total.Abundance.Partials","Molts","Measured.size","Mesured.Size","Mesured.Size.1","Mesured.Size.2","Mesured.Size.3","Mesured.Size.4","Mesured.Size.5","Mesured.Size.6","Mesured.Size.7","Mesured.Size.8","Dry.Mass.g","individuals.SizeCount","DW..g.","Species.Revised","Group.Revised","Subspecies","Species","Subgenus","Genus","Tribe","Subfamily","Family","Superfamily","Subsection","Section","Parvorder","Infraorder","Suborder","Order","Superorder","Infraclass","Subclass","Class","Superclass","Subphylum","Phylum","Finest.Taxonomic.Resolution","Finest.Taxonomic.Resolution.Level","Valid","Mobility","MobileTaxa","eat.microalgae","eat.macroalgae","eat.seagrass","eat.seagrass.detritus","suspension.feeder","detritivore.deposit.feeder","carnivore.parasite.scavenger","broadcast.spawner.brooder.lays.egg.case","lecithotrophic.planktotrophic.direct.development","northern.range.limit..lat.","southern.range.limit..lat.","mesograzer.trait","Type.Final.Inc.Unknowns"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Allochrestes angusta",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Allorchestes.angusta","Gammarid",NA,"Allorchestes.angusta",NA,"Allorchestes",NA,NA,"Dogielinotidae","Talitroidea",NA,NA,"Talitridira","Talitrida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Allorchestes.angusta","Species","Include","Mobile","Crustacean",1,1,1,0,0,0,0,"brooder","direct development",54,33,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Ampithoe lacertosa",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ampithoe.lacertosa","Gammarid",NA,"Ampithoe.lacertosa",NA,"Ampithoe",NA,"Ampithoinae","Ampithoidae","Corophioidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Ampithoe.lacertosa","Species","Include","Mobile","Crustacean",1,1,1,1,0,1,0,"brooder","direct development",55,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Aoroides columbiae",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aoroides.columbiae","Gammarid",NA,"Aoroides.columbiae",NA,"Aoroides",NA,NA,"Aoridae","Aoroidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Aoroides.columbiae","Species","Include","Mobile","Crustacean",1,0,0,1,1,1,0,"brooder","direct development",52,33,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Apholocus barnardi",0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apolochus.barnardi","Gammarid",NA,"Apolochus.barnardi",NA,"Apolochus",NA,NA,"Amphilochidae",NA,NA,NA,NA,NA,"Gammaridea","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Apolochus.barnardi","Species","Include","Mobile","Crustacean",0,0,0,1,0,1,1,"brooder","direct development",NA,NA,NA,"FALSE"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Caprella californica",0,0,3,8,44,31,18,21,0,0,0,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caprella.californica","Caprellid",NA,"Caprella.californica",NA,"Caprella",NA,"Caprellinae","Caprellidae","Caprelloidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Caprella.californica","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,0,"brooder","direct development",53,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Ischyrocerus anguipes",0,0,0,0,0,0,2,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ischyrocerus.anguipes","Gammarid",NA,"Ischyrocerus.anguipes",NA,"Ischyrocerus","Ischyrocerini","Ischyrocerinae","Ischyroceridae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Ischyrocerus.anguipes","Species","Include","Mobile","Crustacean",1,0,0,0,1,0,0,"brooder","direct development",80,-47,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Nebalia kensleyi",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nebalia.kensleyi","Leptostraca",NA,"Nebalia.kensleyi",NA,"Nebalia",NA,NA,"Nebaliidae",NA,NA,NA,NA,NA,"Nebaliacea","Leptostraca",NA,NA,"Phyllocarida","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Nebalia.kensleyi","Species","Include","Mobile","Crustacean",NA,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,"FALSE"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Paracerceis cordata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paracerceis.cordata","Isopod",NA,"Paracerceis.cordata",NA,"Paracerceis",NA,NA,"Sphaeromatidae","Sphaeromatoidea",NA,NA,NA,NA,"Sphaeromatidea","Isopoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Paracerceis.cordata","Species","Include","Mobile","Crustacean",1,NA,NA,NA,NA,NA,NA,"brooder","direct development",33,34,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Idotea resecata",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pentidotea.resecata","Isopod",NA,"Pentidotea.resecata",NA,"Pentidotea",NA,NA,"Idoteidae",NA,NA,NA,NA,NA,"Valvifera","Isopoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Pentidotea.resecata","Species","Include","Mobile","Crustacean",1,1,1,1,0,1,NA,"brooder","direct development",54,18,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Photis brevipes",0,0,0,0,0,3,2,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Photis.brevipes","Gammarid",NA,"Photis.brevipes",NA,"Photis",NA,NA,"Photidae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Photis.brevipes","Species","Include","Mobile","Crustacean",0,0,0,1,1,1,0,"brooder","direct development",54,32,0,"FALSE"
