Site.Code,Site,Subsite,Sampling.Time,Site.Code.Sampling.Time,Month,Date.Collected,Date.Processed,Sample.Processed.by,Data.entered.by,Plot.ID,Unique.ID,Species,Taxa,Group,Type,Number.Shoots,Tin(g),Optional.Tin.Wet.Mass(g),Tin.Dry.Mass(g),Optional.Wet.Mass(g),Dry.Mass(g),Notes,Total seawater(ml),Filtered water(ml),Multiplier,Filter(g),Number.Leaves.Shoot.1
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,1,BB.A.1.1,Epibiota filter,Filter,Filter,Epibiota,4,2.477,NA,3.223,NA,0.746,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,2,BB.A.1.2,Epibiota filter,Filter,Filter,Epibiota,4,2.513,NA,3.19,NA,0.677,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,3,BB.A.1.3,Epibiota filter,Filter,Filter,Epibiota,4,2.518,NA,3.112,NA,0.594,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,4,BB.A.1.4,Epibiota filter,Filter,Filter,Epibiota,4,2.314,NA,2.693,NA,0.379,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,5,BB.A.1.5,Epibiota filter,Filter,Filter,Epibiota,4,2.434,NA,2.919,NA,0.485,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,6,BB.A.1.6,Epibiota filter,Filter,Filter,Epibiota,4,2.493,NA,3.053,NA,0.56,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,7,BB.A.1.7,Epibiota filter,Filter,Filter,Epibiota,4,2.39,NA,2.931,NA,0.541,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,8,BB.A.1.8,Epibiota filter,Filter,Filter,Epibiota,4,2.531,NA,4.592,NA,2.061,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,9,BB.A.1.9,Epibiota filter,Filter,Filter,Epibiota,4,2.396,NA,2.843,NA,0.447,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,10,BB.A.1.10,Epibiota filter,Filter,Filter,Epibiota,4,2.419,NA,2.733,NA,0.314,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,11,BB.A.1.11,Epibiota filter,Filter,Filter,Epibiota,4,2.407,NA,3.11,NA,0.703,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,12,BB.A.1.12,Epibiota filter,Filter,Filter,Epibiota,4,2.703,NA,4.111,NA,1.408,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,13,BB.A.1.13,Epibiota filter,Filter,Filter,Epibiota,4,2.429,NA,5.247,NA,2.818,,,,,,
BB,BB.A,A,1,BB.1,June,26-Jun-14,26-Jun-14,N. Nichols,N. Nichols,14,BB.A.1.14,Epibiota filter,Filter,Filter,Epibiota,4,2.718,NA,3.985,NA,1.267,,,,,,
