X,Site.Code,Site,Subsite,Sampling.Time,Plot.ID,Unique.ID,Ocean,Coast,Latitude,Longitude,Temperature.C,Salinity.ppt,Mean.Fetch,PopDens2,GenotypicRichness,AllelicRichness,Leaf.PercN,Leaf.PercC,Shoots.Zmarina.per.m2,Mean.Sheath.Width.cm.,Mean.Shealth.Length.cm.,Mean.Longest.Leaft.Length.cm.,Mean.Above.Zmarina.g,Mean.Below.Zmarina.g,total.macrophytes.g,Gastropoda.mesograzer.plot.abund,Gastropoda.mesograzer.plot.abund.std.g,Gastropoda.mesograzer.plot.biomass.mg,Gastropoda.mesograzer.plot.biomass.std.mg.g,Gastropoda.mesograzer.plot.richness,Insecta.mesograzer.plot.abund,Insecta.mesograzer.plot.abund.std.g,Insecta.mesograzer.plot.biomass.mg,Insecta.mesograzer.plot.biomass.std.mg.g,Insecta.mesograzer.plot.richness,Malacostraca.mesograzer.plot.abund,Malacostraca.mesograzer.plot.abund.std.g,Malacostraca.mesograzer.plot.biomass.mg,Malacostraca.mesograzer.plot.biomass.std.mg.g,Malacostraca.mesograzer.plot.richness,Polychaeta.mesograzer.plot.abund,Polychaeta.mesograzer.plot.abund.std.g,Polychaeta.mesograzer.plot.biomass.mg,Polychaeta.mesograzer.plot.biomass.std.mg.g,Polychaeta.mesograzer.plot.richness,Polyplacophora.mesograzer.plot.abund,Polyplacophora.mesograzer.plot.abund.std.g,Polyplacophora.mesograzer.plot.biomass.mg,Polyplacophora.mesograzer.plot.biomass.std.mg.g,Polyplacophora.mesograzer.plot.richness,mesograzer.total.plot.abund,mesograzer.total.plot.biomass.mg,mesograzer.total.plot.richness,mesograzer.total.plot.abund.std.g,mesograzer.total.plot.biomass.std.mg.g,Gastropoda.mesograzer.site.richness,Insecta.mesograzer.site.richness,Malacostraca.mesograzer.site.richness,Polychaeta.mesograzer.site.richness,Polyplacophora.mesograzer.site.richness,mesograzer.total.site.richness,epifauna.total.plot.abund,epifauna.total.plot.biomass.mg,epifauna.total.plot.abund.std.g,epifauna.total.plot.biomass.std.mg.g,Zostera.production,epibiota.filter,epibiota.zostera.marina,periphyton.mass.per.g.zostera
1,BB,BB.A,A,1,1,BB.A.1.1,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.781622887,35.96013641,986.7583397,0.75,13.65,65.675,521.5,85.5,5.275,0,0,0,0,0,0,0,0,0,0,117,22.1800947867299,47.103,8.92947867298578,1,0,0,0,0,1,0,0,0,0,0,117,47.103,2,22.1800947867299,8.92947867298578,3,0,17,0,0,20,125,49.3365,23.696682464455,9.35289099526066,13469.251336905,0.746,2.227,0.33497979344409523
2,BB,BB.A,A,1,2,BB.A.1.2,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.948896885,37.0500412,318.3091418,0.76,16.425,66.45,380.5,77,12.441,0,0,0,0,0,0,0,0,0,0,28,2.25062294027811,8.2585,0.663813198295957,1,0,0,0,0,1,0,0,0,0,0,28,8.2585,2,2.25062294027811,0.663813198295957,3,0,17,0,0,20,39,13.4104,3.13479623824451,1.07791978136806,5228.227654065,0.677,2.793,0.24239169351951306
3,BB,BB.A,A,1,3,BB.A.1.3,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.599090576,33.38251114,350.140056,0.7625,14.425,75.5375,313,44.5,4.336,0,0,0,0,1,0,0,0,0,0,43,9.9169741697417,14.9189,3.4407057195572,1,0,0,0,0,1,0,0,0,0,0,43,14.9189,3,9.9169741697417,3.4407057195572,3,0,17,0,0,20,45,16.1909,10.3782287822878,3.73406365313653,5050.7703078,0.594,3.71,0.1601078167115903
4,BB,BB.A,A,1,4,BB.A.1.4,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.955928564,34.01363373,286.4782277,0.8125,16.5375,112.525,190,88.5,17.493,4,0.22866289372892,23.5225,1.34468072943463,1,0,0,0,0,0,53,3.02978334190819,19.3229,1.10460755730864,1,0,0,0,0,1,0,0,0,0,0,57,42.8454,3,3.25844623563711,2.44928828674327,3,0,17,0,0,20,58,43.7565,3.31561195906934,2.50137197736237,4737.63369058875,0.379,5.188,0.073053199691596
5,BB,BB.A,A,1,5,BB.A.1.5,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.295434713,36.24816132,286.4782277,0.75,18.5,74.475,49.5,11.5,12.658,0,0,0,0,0,0,0,0,0,0,33,2.60704692684468,121.4382,9.59379048822879,1,0,0,0,0,1,0,0,0,0,0,33,121.4382,2,2.60704692684468,9.59379048822879,3,0,17,0,0,20,34,123.7383,2.68604834887028,9.77550165902986,5299.84721245,0.485,3.138,0.15455704270235818
6,BB,BB.A,A,1,6,BB.A.1.6,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.048199177,35.6439476,429.7173415,0.825,14.3,51.625,83,3.155,4.233,0,0,0,0,0,0,0,0,0,0,29,6.85093314434207,6.094,1.43964091660761,1,0,0,0,0,1,0,0,0,0,0,29,6.094,2,6.85093314434207,1.43964091660761,3,0,17,0,0,20,33,7.3197,7.7958894401134,1.72919914953933,6144.95798345,0.56,2.535,0.22090729783037477
7,BB,BB.A,A,1,7,BB.A.1.7,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.973630905,34.91532516,222.8163993,0.6,10.625,57.025,75,35.5,4.939,2,0.404940271309982,13.9002,2.8143753796315,1,0,0,0,0,0,13,2.63211176351488,3.7563,0.760538570560842,1,0,0,0,0,1,0,0,0,0,0,15,17.6565,3,3.03705203482486,3.57491395019235,3,0,17,0,0,20,19,19.4324,3.84693257744483,3.93448066410205,2367.4242425625,0.541,1.674,0.32317801672640384
8,BB,BB.A,A,1,8,BB.A.1.8,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.915632248,34.15293503,159.1545709,0.7,12.575,67.4125,122.5,61,7.902,1,0.126550240445457,1.0274,0.130017717033662,1,0,0,0,0,0,13,1.64515312579094,6.8252,0.863730701088332,1,0,0,0,0,1,0,0,0,0,0,14,7.8526,3,1.7717033662364,0.993748418121995,3,0,17,0,0,20,15,22.5117,1.89825360668185,2.84886104783599,2001.3687290675,2.061,2.309,0.8925941966219142
9,BB,BB.A,A,1,9,BB.A.1.9,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.375249863,37.60074234,413.8018844,0.75,13.8,61.775,204.5,98,11.102,0,0,0,0,1,0,0,0,0,0,33,2.97243739866691,7.4486,0.670924157809404,1,0,0,0,0,1,0,0,0,0,0,33,7.4486,3,2.97243739866691,0.670924157809404,3,0,17,0,0,20,35,8.5027,3.15258511979824,0.76587101423167,5710.46600472,0.447,2.391,0.18695106649937265
10,BB,BB.A,A,1,10,BB.A.1.10,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.239236355,34.98590469,15.91545709,0.6175,7.225,29.325,86,35,3.439,0,0,0,0,0,0,0,0,0,0,26,7.56033730735679,3.8047,1.10633905205001,1,0,0,0,0,1,0,0,0,0,0,26,3.8047,2,7.56033730735679,1.10633905205001,3,0,17,0,0,20,28,4.0907,8.141901715615,1.18950276243094,114.98917747525,0.314,0.629,0.49920508744038156
