"Site","Zostera.AG.mass.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","epibiota.filter.site","epibiota.zostera.marina.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","mesograzer.mass.per.area.site","crustacean.mass.per.area.site","gastropod.mass.per.area.site","periphyton.mass.per.area.site","log10.grazer.richness.site","crust.pct.mass.site","gast.pct.mass.site","Leaf.PercN.site","leaf.CN.ratio.site","log10.Zostera.AG.mass.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.mesograzer.abund.per.area.site","log10.mesograzer.mass.per.area.site","log10.crustacean.mass.per.area.site","log10.gastropod.mass.per.area.site","log10.periphyton.mass.per.area.site","log10.Leaf.PercN.site","grazer.richness.site","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","log10.mean.fetch","day.length","log10.day.length","sst.min","sst.mean","sst.max","sst.range","salinity","parmean","cloudmean","precipitation","nitrate","sqrt.nitrate","ph","phosphate","log10.phosphate","chlomean","log10.chlomean","pop.density.2015","FC1","FC2","PC1.zos.site","PC2.zos.site","PC1.env.global","PC2.env.global","PC3.env.global","zLatitude.atl","zPC1.zos.atl","zPC2.zos.atl","zPC1.env.global.atl","zPC2.env.global.atl","zPC3.env.global.atl","zFC1.global.atl","zFC2.global.atl","zperiphyton.area.atl","zperiphyton.perg.atl","zmesograzer.mass.area.atl","zmesograzer.mass.perg.atl","rLatitude.atl","rPC1.zos.atl","rPC2.zos.atl","rPC1.env.global.atl","rPC2.env.global.atl","rPC3.env.global.atl","rFC1.global.atl","rFC2.global.atl","rperiphyton.area.atl","rperiphyton.perg.atl","rmesograzer.mass.area.atl","rmesograzer.mass.perg.atl"
"CR.A",80.325,43.5,332.633053265,0.52945833335,9.6884166667,47.2617916665,0.433685,1.286395,0.309004067910004,0,0,0,0,0,0,0,0,0,26.0900259986202,NA,NA,NA,1.5283031107,22.8928724669228,1.88881493188578,1.62787005849657,2.51241563460184,-0.277144978835577,0.982278701220897,1.67148722222213,-0.578197428409001,-2,-2,-2,-2,-2,-2,0,0,0,0,1.30553545454798,0.183121860032823,NA,"Atlantic","East Atlantic",44.21154996,15.4906946,17,25,0.130936536783167,14.85,1.17172645365323,8.19600009918213,15.7770004272461,24.8369998931885,16.6410007476807,38.4339981079102,33.1430015563965,0.656000018119812,84.8208333333333,0.606000006198883,0.778460022222646,8.24699974060059,0.0348000004887581,-1.45842074995385,0.612999975681305,-0.212539542710745,250,372,-159,0.0121473930907114,0.978842366239358,1.19546806174592,-3.2766566571104,-0.59256243650662,-0.35613516744834,-0.975806908036055,0.766639417998264,0.799266246834012,-2.32641594648594,-0.455198141678666,-1.51676367215504,-2.14892257491486,0.997858941086463,1.15489305688983,-3.0346094926898,-3.31529747802523,0.292703198844501,0.131642387018702,0.603455089736105,0.632225097647659,0.0248586023901187,0.407692417162337,0.162393162393162,0,0.764871261372475,0.972350368848248,0,0
"CR.B",39.5,39.1578947368421,447.22434431,0.4685,5.18391666665,27.60055,0.16621,0.61026,0.294211100598598,0.739226149057629,0.0331081975897232,0.706117951467906,8.78857807406399,1.19608992186466,7.59248815219934,362.337163386613,61.6930591277559,300.644104258857,13.1303290706635,NA,0.0833333333333333,0.916666666666667,1.49618861665,25.2667852493391,1.59222224961465,1.58486167677062,2.63965477842121,-0.330231580806256,0.712285752773301,1.43829778496392,-0.601444956203725,-0.802937652758797,-1.90862623912446,-0.894311413634337,-0.179714959013463,-1.83105123318039,-0.34866372583307,0.982910633463183,1.63310914234226,0.161545276531442,1.47156386581081,1.0052730304072,0.167780186740781,NA,"Atlantic","East Atlantic",44.20557132,15.47773378,19,20,0.210853365314893,15.383,1.18704104004233,8.19600009918213,15.7770004272461,24.8369998931885,16.6410007476807,38.4339981079102,33.1430015563965,0.656000018119812,84.7458333333333,0.606000006198883,0.778460022222646,8.24699974060059,0.0348000004887581,-1.45842074995385,0.612999975681305,-0.212539542710745,250,402,-143,1.30999903885504,1.43402565369973,0.981814250951037,-3.40613324118119,-0.302199083370846,-0.356690397574688,0.259077453943463,1.13649743355154,0.676171012180323,-2.43841414402009,-0.249354985599906,-1.29836175312577,-1.9532208919393,0.451371190790993,1.10760552947173,-1.07816124024357,-1.01268057419693,0.292519783483471,0.424966643240081,0.681998504482706,0.596402937175196,0,0.461586303982725,0.213675213675214,0.0467836257309941,0.638846493849259,0.959569741901031,0.390181526946046,0.491973386789551
"ES.A",182.3,180.45,725.744843395,0.4,9.133,46.9555,0.12602,1.161195,0.1105026951072,6.93581525191318,6.40823354192012,0.527581709993058,12.7289607550882,9.554332277889,3.17462847719924,2226.72112559177,1663.62807067118,563.093054920589,19.9186859592601,NA,0.834401081820169,0.165598918179831,1.84127966347368,19.9786788690047,2.2364765160585,2.24316282202943,2.84191531852341,-0.399703230912598,0.956315716461586,1.65685019039046,-0.971842572694587,0.773260558559464,0.73329581445457,-0.798507247410655,0.852520019535862,0.747516638132005,-0.646508624867417,3.00674461993423,3.08576669486038,2.98066828817103,1.50253189654259,1.26022918537307,0.262718911710308,NA,"Atlantic","West Atlantic",37.265686,-75.812668,28.05,35.42,0.698481148010606,14.683,1.16681479879091,5.65480003356934,16.0202001571655,26.5940002441406,20.9391998291016,26.423999786377,34.2850006103516,0.503400003910065,88.3846153846154,0.646999990940094,0.804363096455882,8.2818000793457,0.249199998378754,-0.603451964838302,4.74360003471375,0.67610806356877,25,698,88,0.490174426179735,-0.853743772353586,1.12372139513892,-0.648737306086941,0.633216404647228,-1.00119038470627,-0.520972097222639,-0.722423759896718,0.757929877832444,-0.0532463792471713,0.413775792506789,0.856537181296426,0.8722221560204,0.915400001422174,0.354184021599193,0.662107830781743,0.293071907866184,0.0796149135678473,0.239680100259782,0.287236157478168,0.620195728290762,0.52940081540277,0.635207306415877,0.71965811965812,0.722222222222222,0.745855521869102,0.755938895631765,0.737249660529759,0.770958340752763
"ES.B",131.85,102.55,472.689075625,0.4379,12.148,57.4065,0.04917,1.671065,0.0289727234512115,6.34584996863779,5.76871703481482,0.577132933822963,17.1219270925011,13.1116527363836,4.01027435611746,2442.81788173568,1876.5492634713,566.268618264384,3.93473186891649,NA,0.820139013356404,0.179860986643596,1.84840051126316,20.2206944516309,2.09131449567053,1.98348827834351,2.66676971095406,-0.361009613863277,1.08337747066784,1.75712724847738,-1.54500401487347,0.648617176266301,0.597404403861033,-0.953280664013908,0.928417259845659,0.804486701854326,-0.736819529341205,2.73545769624412,3.01538642413122,2.89142748297089,1.32031025202243,0.54148132123831,0.263317378704057,NA,"Atlantic","West Atlantic",37.31855,-75.789076,27.7,35.64,0.441302286693167,14.683,1.16681479879091,5.34183327356974,15.863333384196,26.9483334223429,21.6064999898275,26.449166615804,34.152333577474,0.50300000111262,87.8611111111111,0.782666663328807,0.884684499315325,8.27316665649414,0.270133336385091,-0.568421817461115,5.50066673755646,0.740415333656441,25,654,72,-0.0624992182172498,-0.103840309299227,1.01549158465959,-0.580910718266198,0.74014038739285,-0.996280959586303,-1.04683192332174,-0.113091619761935,0.695573985990815,0.00542411808894914,0.489575888597352,0.536214366720154,0.676520473044837,-0.392745379821129,-0.811677039041478,0.577792977533629,0.389080095900593,0.0812366987306055,0.114771690115236,0.416634534662036,0.602049430668123,0.542423047879899,0.655053299246051,0.644444444444444,0.675438596491228,0.444185964832148,0.440836032320878,0.720434445436057,0.791471294231167
"FI.A",30.775,88.65,206.900942191,0.3425,6.390375,25.22625,0.27575,0.573215,0.523106833324546,183.658428897542,1.09768554775801,182.390927778284,52.0710401487676,4.14997339873122,47.9210667500364,1719.81184704664,141.001193967067,1578.81065307958,14.4272157831432,NA,0.107359882399944,0.892640117600055,2.4592936039,16.7318353572629,1.42720118397127,1.82183905757706,2.27990561135215,-0.466263719939786,0.800882836210883,1.40053498547328,-0.560239146944806,2.06440572007012,-0.219778167501404,2.05685436983247,1.6040395448809,0.256668908415742,1.55195385991302,3.46987294567403,3.00999599740534,1.72300738536473,2.95815287927358,0.855750984141389,0.388762175999154,NA,"Atlantic","East Atlantic",59.92025,21.79618333,14,6.5,0.355068206348851,19,1.27875360095283,0.853666663169861,8.20366684595744,18.9173332850138,18.0636669794718,6.23933331171672,36.7349993387858,0.747166663408279,51.5119047619048,1.67683333158493,1.29492599463635,8.25583346684774,0.19010000427564,-0.721017873366609,12.8430000940959,1.10866648573589,1,563,71,1.46759235915528,1.65285419033849,-2.19196068151248,-0.372240263810205,2.2444502439324,1.10271559258611,0.409024890097916,1.31430600108311,-1.15237849319059,0.185925595984954,1.55600484819714,-0.126271454335317,0.664289117858864,0.179236017976072,1.19142178951975,0.571335300778071,1.24372607666529,0.774621643364238,0.460583921696666,0.719758108108544,0.0642735334860693,0.58248632183105,0.934265893657809,0.488888888888889,0.672514619883041,0.576089786365243,0.982223164701366,0.719146567684188,0.974073566004569
"FI.B",45.825,68.85,466.322892785,0.3245,6.58,30.827,0.006955,0.419505,0.0181849951346093,13.0501683101052,2.00187666837102,11.0016358508703,19.0145127603199,6.18766287282401,12.8268498874958,876.696628516935,292.713295527179,583.983332989755,0.837731722515211,NA,0.298874520304573,0.701125479695427,2.06128189565,19.3483276460058,1.65078795796716,1.82106402142348,2.63053928468811,-0.491154024735208,0.813141252668757,1.48420844739371,-1.75907162745521,1.07432987297693,-0.055318394668345,0.984512195866367,1.22688165556462,0.212711875672555,1.04221339905975,2.71543468172437,2.86790383378306,1.91780323716659,2.68343092095733,-0.0827925933512412,0.31338949404808,NA,"Atlantic","East Atlantic",60.10785,21.70995,17,6.5,0.27703588817211,14.5,1.16136800223497,0.7052499987185,7.9881249666214,18.2065002918243,17.5012495517731,6.171875,36.5476245880127,0.731250002980232,52.1157407407407,1.63650001585484,1.27925760339927,8.24387502670288,0.18610000051558,-0.730253625666044,24.0160001516342,1.38050067764128,1,637,132,1.46479101451502,0.924937910966701,-2.21009966578579,-0.46367675012136,2.59860498501672,1.12013781096736,0.40635945703392,0.722839490791224,-1.16282914940494,0.106832362801519,1.80707072430639,0.412453279270231,1.4104017842032,-1.52894498297972,-1.24710949399625,0.401110324383413,0.76663039560581,0.780376919100721,0.459950796689114,0.594153693784615,0.0612322696629317,0.564931153277051,1,0.615384615384615,0.850877192982456,0.182168580598718,0.323149613272507,0.685197987070836,0.872138077889607
"FR.A",125.95,298.275,93.5033104025,0.5425,6.862,42.0675,0.0669847,1.880045,0.0388810617086086,1.04702673136427,0.316178869119756,0.722048311912618,2.7362574953662,0.641045265380786,2.0354632261359,405.294432110862,84.8211020556392,312.853508217655,4.81556446484451,NA,0.273152784044978,0.714542646730437,1.41715835325,25.8983286460816,2.03147366777492,2.45283725522255,1.92921629684904,-0.269474495136622,0.822808449522361,1.61534060368263,-1.43099908502471,-0.0980983334715876,-0.76397036551766,-0.305566704955541,0.327156168141756,-0.581952844078203,0.126014662182214,1.93000486466433,2.35449385006309,1.46277347110064,2.15424257902932,0.597117888726302,0.148213807911658,NA,"Atlantic","East Atlantic",43.446971,3.661503,35,38.8,0.406540180433955,15,1.17609125905568,10.201000213623,16.4740002950033,23.6016661326091,13.4006668726603,37.3333333333333,33.7876663208008,0.489000002543132,58.3916666666667,1.84100000063578,1.35683455168115,8.27233346303304,0.242866665124893,-0.614632090570767,1.65333334604899,0.21836042511066,250,430,-12,-0.0493885800653349,0.0952849257205352,2.01798332663758,-0.90046114704981,-0.881470182976676,-0.427140826354687,-1.03435736809641,0.0487070804537458,1.27315299456576,-0.270989353133487,-0.660009395257181,-1.09451996203177,-0.350913362576873,-0.29148494842456,-0.57978092975948,-0.213949648887429,-0.371500759403983,0.269247107495282,0.117734793176398,0.450994266997405,0.770131712560731,0.481071591091534,0.354068703213456,0.261538461538462,0.429824561403509,0.467537489764141,0.503511706543378,0.562534359635688,0.628966824343288
"FR.B",225.7,168.3,319.9006875315,0.4255,9.445125,95.0076,0.06312248,3.42103,0.0202967340241148,0.323056542468326,0.0762027897579365,0.218298133527884,3.84583233834441,0.214689188395017,3.58650072685747,915.310468321108,59.6574780205258,852.577704365679,4.52947626006553,NA,0.0555467745744716,0.935179902395897,2.01433306345,17.2193559457796,2.27675329534107,2.18958157762864,2.37490671432149,-0.374240396076201,0.953284708465735,1.97476664451394,-1.6996147203212,-0.530094499080107,-1.21221704434572,-0.701010358843682,0.516079879824251,-0.939590000126337,0.486169640573656,1.7371237617885,2.78941739007441,1.29464124083295,2.75948271283549,0.565488388243354,0.300945062122632,NA,"Atlantic","East Atlantic",43.082895,2.973231,35,32.5,0.221088068482732,15,1.17609125905568,10.923999786377,16.6009998321533,22.6979999542236,11.7740001678467,37.4490013122559,32.8549995422363,0.532999992370605,52.85,1.77699995040894,1.33304161615793,8.27499961853027,0.235499992966652,-0.628009101505549,6.26900005340576,0.797198273538724,250,476,-42,-0.570321615253491,-0.466454486497497,0.925343504049819,0.0753618668448492,0.0144073534522875,-0.460952188718081,-1.53001652982867,-0.407732841627341,0.643635763616242,0.573104731158961,-0.0249076940022962,-0.759637019520218,-0.717854018156055,-0.349051707273452,-1.12616888684348,0.307084357806379,-0.13251679686022,0.258077823012149,0,0.354064232769833,0.586934797337347,0.668422813550982,0.520351128429334,0.34017094017094,0.342105263157895,0.454262100888408,0.355836811508164,0.666446049642523,0.680027749521752
"IR.A",13.24475,8.47631578947368,615.92818943,0.19,2.616,10.4895,0.0300955,0.223495,0.139941284776612,188.991410356246,5.07034698800389,183.921063368242,61.3726611880288,3.94887984901476,57.4237813390141,781.194414107358,49.3221101664552,731.872303940903,1.83208464932003,NA,0.0848706077895537,0.915129392210447,2.50656110055,13.5874650811335,1.10539800690778,0.79474425736653,2.72993816988268,-0.729342878729639,0.413592300794888,1.01797202436832,-0.899558420579829,2.16377877244356,0.257154877219626,2.14583168808581,1.69996648165278,0.133421220206507,1.6591245291614,3.22749693997462,2.76427044757281,1.32214335151047,2.7235533021923,0.198948782621129,0.397780452281104,NA,"Atlantic","East Atlantic",54.531944,-5.569167,20.4,40,-0.321026624080235,17.3,1.2380461031288,6.42066661516825,10.679666519165,15.8126667340597,9.39199995994568,34.113166809082,28.6868333816528,0.761166661977768,86.2324561403509,5.99666659037272,2.44880921885979,8.2061669031779,0.57328333457311,-0.241630683043285,2.58816667397817,0.412992240798125,50,646,183,3.85430955055371,3.27694229558334,-0.892092535704796,0.47789889670125,-2.45519100359196,0.602309175544476,2.67994679842578,2.6339546354628,-0.40346802989599,0.921302222683915,-1.77564488094753,0.477973854979014,2.03420089868781,-1.01616616571385,0.501216379413872,0.276958574761009,1.3650713501636,0.609316809768576,1,1,0.282215282986948,0.745707119777576,0.0619728485638181,0.630769230769231,1,0.300419778730461,0.795678036521587,0.660437956142278,1
"IR.B",46.75,83.5,334.224598956316,0.308,8.087,35.9191,0.115435,0.622725,0.205392896266029,0.390822634316411,0.299905691220668,0.0909169430957431,1.8906218785612,0.370991903765336,1.51962997479587,92.9628132599895,25.0578741448442,67.9049391151452,9.55125458862618,NA,0.780480316246269,0.219519683753731,2.370700407,14.8142125902746,1.62074714273601,1.81594982413082,2.45384430962678,-0.515390988028465,0.880451719439563,1.54005644037183,-0.729062119688834,-0.778378772727519,-0.912281547753496,-1.66296127863465,-0.879288411657499,-1.10666725019192,-1.64528480235416,0.958787659758739,0.885590326892787,0.69883657909694,0.276170191408946,0.883947567855422,0.370741203950892,NA,"Atlantic","East Atlantic",55.2225,-7.701944,16.3,40,-1.08354605145007,17.18,1.23502315949522,6.75266663233439,10.9169999758403,15.7043334643046,8.95166659355164,35.0233332316081,28.1684999465942,0.809999992450078,95.9621212121212,4.26633334159851,2.06551043124902,8.18650023142497,0.382250006000201,-0.417652499098496,1.89649999141693,0.277952845073305,NA,698,108,1.19596277165236,1.11355915060622,-0.874126313559576,-0.131482583649175,-2.78908126785025,0.666440398553452,0.150573832958198,0.876103196437148,-0.393116909442869,0.394182760120496,-2.01234495014242,0.856537181296426,1.11684925973985,0.230554752393119,0.84802093318225,-1.97368122861327,-1.89762420734059,0.630501992025947,0.399193587152618,0.626700926214176,0.285227580733361,0.628710119643159,0,0.71965811965812,0.780701754385965,0.587924327159611,0.889410567430217,0.211584747789783,0.302897767831096
