"Site","Seagrass.pct.cover.site","Macroalgae.pct.cover.site","Zostera.AG.mass.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","epibiota.filter.site","epibiota.zostera.marina.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","mesograzer.mass.per.area.site","crustacean.mass.per.area.site","gastropod.mass.per.area.site","periphyton.mass.per.area.site","log10.grazer.richness.site","crust.pct.mass.site","gast.pct.mass.site","Leaf.PercN.site","leaf.CN.ratio.site","log10.Macroalgae.pct.cover.site","log10.Zostera.AG.mass.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.mesograzer.abund.per.area.site","log10.mesograzer.mass.per.area.site","log10.crustacean.mass.per.area.site","log10.gastropod.mass.per.area.site","log10.periphyton.mass.per.area.site","log10.Leaf.PercN.site","log10.predation.gastropods.site","predation.amphipods","predation.squidpops","predation.gastropods","grazer.richness.site","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","log10.mean.fetch","day.length","log10.day.length","sst.min","sst.mean","sst.max","sst.range","salinity","parmean","cloudmean","precipitation","nitrate","sqrt.nitrate","ph","phosphate","log10.phosphate","chlomean","log10.chlomean","pop.density.2015","FC1","FC2","FC1.atl","FC2.atl","Site.1","PC1.env.atl","PC2.env.atl","PC3.env.atl","PC1.zos.site","PC2.zos.site","zPC1.env.atl","zPC2.env.atl","zPC3.env.atl","zFC1.atl","zFC2.atl","rPC1.env.atl","rPC2.env.atl","rPC3.env.atl","rFC1.atl","rFC2.atl"
"CR.A",97.4,0,80.325,43.5,332.633053265,0.52945833335,9.6884166667,47.2617916665,0.433685,1.286395,0.309004067910004,0,0,0,0,0,0,0,0,0,26.0900259986202,NA,NA,NA,1.5283031107,22.8928724669228,-1,1.88881493188578,1.62787005849657,2.51241563460184,-0.277144978835577,0.982278701220897,1.67148722222213,-0.578197428409001,-2,-2,-2,-2,-2,-2,0,0,0,0,1.30553545454798,0.183121860032823,-0.397940008672038,0.85,0.842105263157895,0.4,NA,"Atlantic","East Atlantic",44.21154996,15.4906946,17,25,0.130936536783167,14.85,1.17172645365323,8.196000099,15.77700043,24.83699989,16.64100075,38.43399811,33.14300156,0.656000018,84.82083333,0.606000006,0.778460022094905,8.246999741,0.0348,-1.45842075605342,0.612999976,-0.212539542484958,250,372,-159,-0.17273,0.77729,"CR.A",-1.70365237801917,-1.03411536875904,2.28626389212361,0.0120819879329249,0.979171053326876,-1.01543158294351,-0.729197279587484,1.89000072920343,-0.447292544102255,1.43106092579619,0.278438869865641,0.311626594169884,0.929681202126848,0.272245787132022,0.785388611489383
"CR.B",70.75,0,39.5,39.1578947368421,447.22434431,0.4685,5.18391666665,27.60055,0.16621,0.61026,0.294211100598598,0.739226149057629,0.0331081975897232,0.706117951467906,8.78857807406399,1.19608992186466,7.59248815219934,362.337163386613,61.6930591277559,300.644104258857,13.1303290706635,NA,0.0833333333333333,0.916666666666667,1.49618861665,25.2667852493391,-1,1.59222224961465,1.58486167677062,2.63965477842121,-0.330231580806256,0.712285752773301,1.43829778496392,-0.601444956203725,-0.802937652758797,-1.90862623912446,-0.894311413634337,-0.179714959013463,-1.83105123318039,-0.34866372583307,0.982910633463183,1.63310914234226,0.161545276531442,1.47156386581081,1.0052730304072,0.167780186740781,-0.823908740944319,0.9,0.8,0.15,NA,"Atlantic","East Atlantic",44.20557132,15.47773378,19,20,0.210853365314893,15.383,1.18704104004233,8.196000099,15.77700043,24.83699989,16.64100075,38.43399811,33.14300156,0.656000018,84.74583333,0.606000006,0.778460022094905,8.246999741,0.0348,-1.45842075605342,0.612999976,-0.212539542484958,250,402,-143,-0.05481,0.62997,"CR.B",-1.56646251259415,-0.87176444740201,2.57652074177375,1.31002801241788,1.43506408801497,-0.933662013041988,-0.614716967459321,2.12994925806091,-0.219314981923921,1.16624105250304,0.30108100592098,0.342144192375576,1,0.340204937873164,0.711085892974227
"ES.A",98.75,0,182.3,180.45,725.744843395,0.4,9.133,46.9555,0.12602,1.161195,0.1105026951072,6.93581525191318,6.40823354192012,0.527581709993058,12.7289607550882,9.554332277889,3.17462847719924,2226.72112559177,1663.62807067118,563.093054920589,19.9186859592601,NA,0.834401081820169,0.165598918179831,1.84127966347368,19.9786788690047,-1,2.2364765160585,2.24316282202943,2.84191531852341,-0.399703230912598,0.956315716461586,1.65685019039046,-0.971842572694587,0.773260558559464,0.73329581445457,-0.798507247410655,0.852520019535862,0.747516638132005,-0.646508624867417,3.00674461993423,3.08576669486038,2.98066828817103,1.50253189654259,1.26022918537307,0.262718911710308,-0.602059991327962,NA,1,0.25,NA,"Atlantic","West Atlantic",37.265686,-75.812668,28.05,35.42,0.698481148010606,14.683,1.16681479879091,5.654800034,16.02020016,26.59400024,20.93919983,26.42399979,34.28500061,0.503400004,88.38461538,0.646999991,0.80436309649312,8.281800079,0.249199998,-0.603451965498377,4.743600035,0.676108063594978,25,698,88,-0.64512,0.14064,"ES.A",-1.3485109616897,0.948661883696666,-0.615362211347716,0.490275891027687,-0.85355475247563,-0.803755882427933,0.668940512575573,-0.508705505159827,-1.3605754528321,0.286629943362831,0.337052239319032,0.6843352860335,0.226721531340774,0,0.464286074544813
"ES.B",100,0,131.85,102.55,472.689075625,0.4379,12.148,57.4065,0.04917,1.671065,0.0289727234512115,6.34584996863779,5.76871703481482,0.577132933822963,17.1219270925011,13.1116527363836,4.01027435611746,2442.81788173568,1876.5492634713,566.268618264384,3.93473186891649,NA,0.820139013356404,0.179860986643596,1.84840051126316,20.2206944516309,-1,2.09131449567053,1.98348827834351,2.66676971095406,-0.361009613863277,1.08337747066784,1.75712724847738,-1.54500401487347,0.648617176266301,0.597404403861033,-0.953280664013908,0.928417259845659,0.804486701854326,-0.736819529341205,2.73545769624412,3.01538642413122,2.89142748297089,1.32031025202243,0.54148132123831,0.263317378704057,-0.0969100130080564,NA,0.722222222222222,0.8,NA,"Atlantic","West Atlantic",37.31855,-75.789076,27.7,35.64,0.441302286693167,14.683,1.16681479879091,5.341833274,15.86333338,26.94833342,21.60649999,26.44916662,34.15233358,0.503000001,87.86111111,0.782666663,0.884684499129492,8.273166656,0.270133336,-0.568421818080227,5.500666738,0.74041533369146,25,654,72,-0.50496,0.14844,"ES.B",-1.25248840576842,1.08762347759173,-0.702219863543243,-0.0624548791280656,-0.103644282948394,-0.74652335235581,0.766928047909293,-0.58050868875206,-1.08960076562963,0.30065108788962,0.352900026390003,0.710456320968597,0.205679045363834,0.0807764125498514,0.468220103898724
"FI.A",84,74.5,30.775,88.65,206.900942191,0.3425,6.390375,25.22625,0.27575,0.573215,0.523106833324546,183.658428897542,1.09768554775801,182.390927778284,52.0710401487676,4.14997339873122,47.9210667500364,1719.81184704664,141.001193967067,1578.81065307958,14.4272157831432,NA,0.107359882399944,0.892640117600055,2.4592936039,16.7318353572629,1.8476875137833,1.42720118397127,1.82183905757706,2.27990561135215,-0.466263719939786,0.800882836210883,1.40053498547328,-0.560239146944806,2.06440572007012,-0.219778167501404,2.05685436983247,1.6040395448809,0.256668908415742,1.55195385991302,3.46987294567403,3.00999599740534,1.72300738536473,2.95815287927358,0.855750984141389,0.388762175999154,-Inf,0.6,0.0526315789473684,0,NA,"Atlantic","East Atlantic",59.92025,21.79618333,14,6.5,0.355068206348851,19,1.27875360095283,0.853666663,8.203666846,18.91733329,18.06366698,6.239333312,36.73499934,0.747166663,51.51190476,1.676833332,1.29492599479661,8.255833467,0.190100004,-0.721017873996325,12.84300009,1.10866648559738,1,563,71,0.41476,-0.51996,"FI.A",1.74813661841281,2.03938970246952,1.21953477312003,1.46757065817481,1.6531312043028,1.04194562020942,1.43805755913296,1.00816078949873,0.68851595321923,-0.900853143098296,0.848130193998105,0.889362723185403,0.671251093087098,0.610825514649946,0.131104050032784
"FI.B",77.15,1.45,45.825,68.85,466.322892785,0.3245,6.58,30.827,0.006955,0.419505,0.0181849951346093,13.0501683101052,2.00187666837102,11.0016358508703,19.0145127603199,6.18766287282401,12.8268498874958,876.696628516935,292.713295527179,583.983332989755,0.837731722515211,NA,0.298874520304573,0.701125479695427,2.06128189565,19.3483276460058,-0.187758876025798,1.65078795796716,1.82106402142348,2.63053928468811,-0.491154024735208,0.813141252668757,1.48420844739371,-1.75907162745521,1.07432987297693,-0.055318394668345,0.984512195866367,1.22688165556462,0.212711875672555,1.04221339905975,2.71543468172437,2.86790383378306,1.91780323716659,2.68343092095733,-0.0827925933512412,0.31338949404808,-Inf,0.35,0.05,0,NA,"Atlantic","East Atlantic",60.10785,21.70995,17,6.5,0.27703588817211,14.5,1.16136800223497,0.705249999,7.988124967,18.20650029,17.50124955,6.171875,36.54762459,0.731250003,52.11574074,1.636500016,1.279257603456,8.243875027,0.186100001,-0.730253624535571,24.01600015,1.38050067761173,1,637,132,0.44592,-0.50866,"FI.B",1.61634941936603,2.19299984894992,1.32973151297122,1.46476660497171,0.925321699662335,0.963396213143552,1.5463743913883,1.09925784937537,0.748758328028226,-0.880540459360768,0.826379726629946,0.918237291259443,0.697947800796896,0.62878351275963,0.136803348968578
"FR.A",48.5,50,125.95,298.275,93.5033104025,0.5425,6.862,42.0675,0.0669847,1.880045,0.0388810617086086,1.04702673136427,0.316178869119756,0.722048311912618,2.7362574953662,0.641045265380786,2.0354632261359,405.294432110862,84.8211020556392,312.853508217655,4.81556446484451,NA,0.273152784044978,0.714542646730437,1.41715835325,25.8983286460816,1.66853484900791,2.03147366777492,2.45283725522255,1.92921629684904,-0.269474495136622,0.822808449522361,1.61534060368263,-1.43099908502471,-0.0980983334715876,-0.76397036551766,-0.305566704955541,0.327156168141756,-0.581952844078203,0.126014662182214,1.93000486466433,2.35449385006309,1.46277347110064,2.15424257902932,0.597117888726302,0.148213807911658,-Inf,0.95,0.4,0,NA,"Atlantic","East Atlantic",43.446971,3.661503,35,38.8,0.406540180433955,15,1.17609125905568,10.20100021,16.4740003,23.60166613,13.40066687,37.33333333,33.78766632,0.489000003,58.39166667,1.841000001,1.35683455181536,8.272333463,0.242866665,-0.614632090794101,1.653333346,0.218360425097791,250,430,-12,1.09004,0.85317,"FR.A",-2.11144217229284,-0.844299127077588,-0.548827698765485,-0.050486930847482,0.0965857750151898,-1.25848740914966,-0.595350040452326,-0.453702984352482,1.99405096159597,1.567461495885,0.211136289056788,0.34730693246504,0.242840451350751,1,0.823659656024613
"FR.B",100,0,225.7,168.3,319.9006875315,0.4255,9.445125,95.0076,0.06312248,3.42103,0.0202967340241148,0.323056542468326,0.0762027897579365,0.218298133527884,3.84583233834441,0.214689188395017,3.58650072685747,915.310468321108,59.6574780205258,852.577704365679,4.52947626006553,NA,0.0555467745744716,0.935179902395897,2.01433306345,17.2193559457796,-1,2.27675329534107,2.18958157762864,2.37490671432149,-0.374240396076201,0.953284708465735,1.97476664451394,-1.6996147203212,-0.530094499080107,-1.21221704434572,-0.701010358843682,0.516079879824251,-0.939590000126337,0.486169640573656,1.7371237617885,2.78941739007441,1.29464124083295,2.75948271283549,0.565488388243354,0.300945062122632,-0.602059991327962,0.5,0.25,0.25,NA,"Atlantic","East Atlantic",43.082895,2.973231,35,32.5,0.221088068482732,15,1.17609125905568,10.92399979,16.60099983,22.69799995,11.77400017,37.44900131,32.85499954,0.532999992,52.85,1.77699995,1.33304161600454,8.274999619,0.235499993,-0.628009101444051,6.269000053,0.797198273510614,250,476,-42,1.0701,0.94894,"FR.B",-0.894623175308413,-0.129358609607041,-0.861095073273013,-0.570225805821183,-0.466537453184119,-0.533224171058651,-0.091216076142326,-0.711847097794028,1.95550048169573,1.73961598451713,0.411962940494101,0.481696483634605,0.167189294739487,0.988508264367551,0.871962475412316
"IR.A",58,1.5,13.24475,8.47631578947368,615.92818943,0.19,2.616,10.4895,0.0300955,0.223495,0.139941284776612,188.991410356246,5.07034698800389,183.921063368242,61.3726611880288,3.94887984901476,57.4237813390141,781.194414107358,49.3221101664552,731.872303940903,1.83208464932003,NA,0.0848706077895537,0.915129392210447,2.50656110055,13.5874650811335,-0.320217431680153,1.10539800690778,0.79474425736653,2.72993816988268,-0.729342878729639,0.413592300794888,1.01797202436832,-0.899558420579829,2.16377877244356,0.257154877219626,2.14583168808581,1.69996648165278,0.133421220206507,1.6591245291614,3.22749693997462,2.76427044757281,1.32214335151047,2.7235533021923,0.198948782621129,0.397780452281104,-Inf,0.578947368421053,0,0,NA,"Atlantic","East Atlantic",54.531944,-5.569167,20.4,40,-0.321026624080235,17.3,1.2380461031288,6.420666615,10.67966652,15.81266673,9.39199996,34.11316681,28.68683338,0.761166662,86.23245614,5.99666659,2.44880921878369,8.206166903,0.573283335,-0.241630682719891,2.588166674,0.412992240801789,50,646,183,0.32678,-0.45958,"IR.A",1.25568604994328,-2.22301696722318,-1.5512069559285,3.85421054789849,3.27571144319013,0.748429251075561,-1.56754069608425,-1.28234640277115,0.518422110610259,-0.792315103799896,0.766855001131107,0.0881451320090039,0,0.560121256829341,0.161557472133959
"IR.B",65.55,24.85,46.75,83.5,334.224598956316,0.308,8.087,35.9191,0.115435,0.622725,0.205392896266029,0.390822634316411,0.299905691220668,0.0909169430957431,1.8906218785612,0.370991903765336,1.51962997479587,92.9628132599895,25.0578741448442,67.9049391151452,9.55125458862618,NA,0.780480316246269,0.219519683753731,2.370700407,14.8142125902746,0.969486901984953,1.62074714273601,1.81594982413082,2.45384430962678,-0.515390988028465,0.880451719439563,1.54005644037183,-0.729062119688834,-0.778378772727519,-0.912281547753496,-1.66296127863465,-0.879288411657499,-1.10666725019192,-1.64528480235416,0.958787659758739,0.885590326892787,0.69883657909694,0.276170191408946,0.883947567855422,0.370741203950892,-0.954242509439325,1,0.105263157894737,0.111111111111111,NA,"Atlantic","East Atlantic",55.2225,-7.701944,16.3,40,-1.08354605145007,17.18,1.23502315949522,6.752666632,10.91699998,15.70433346,8.951666594,35.02333323,28.16849995,0.809999992,95.96212121,4.266333342,2.06551043134621,8.186500231,0.382250006,-0.417652499098724,1.896499991,0.277952844977828,NA,698,108,0.12408,-0.5533,"IR.B",1.16184438120688,-2.69194126782981,-1.00196410591007,1.19644387878659,1.11324026915609,0.692496599872471,-1.89819850725783,-0.82830022261634,0.126537342517074,-0.96078454803716,0.751367152778702,0,0.133061793374638,0.443302058599783,0.114288596358501
